dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
de55ea2e393be2eec13baa226de24899f4c133a837febd2abc6a585f7b12ff78,Suplantación posible,d90e897a6a7b59c7b9cef80ff82f301fa2a8cc5a2ecb92772f968664dd90ef64,['electrical/electronic manufacturing'],Montcada,Valencian Community
95905f338c13f6f49f538fd91d296b95d0296c6ab7e7961e40d85bde3b872da7,Suplantación posible,345be8da91bdee039408331256a79cb2a1430aa692ae8993ba529bf33b10c3ec,['electrical/electronic manufacturing'],Montcada,Valencian Community
66515675e20f1de102143bd9410455210b6a117b767e90791e047e6268dd2ce5,Suplantación posible,68119d8a66bbae273e7ff65b02e365b16f804456eeb1b661c04715222474d74a,['electrical/electronic manufacturing'],Montcada,Valencian Community
525d0bc9f50660a950e62b1afb2b2924e91a55af92cd234f70242fd06851c168,Suplantación posible,987afe3c5280e1faf3e0cfa2dee4e9193dc77eb9bc513bf3c701332c5a61e51a,['electrical/electronic manufacturing'],Montcada,Valencian Community
2c7890406da0e224f242043a3587e6bcb32d45ceb99d7bced47c92e80e0b76f2,Suplantación quizá es posible,7cf7cf639615da1e7932978bfeedcbcfdbd37cd040e756606c5cd49ecbe6d9c2,['electrical/electronic manufacturing'],Montcada,Valencian Community
3933cd43b645e919fe6cbecf695c258af4f651d1cd3c438899b0ff9b3f7c6586,Suplantación posible,264dedb82710a6e74004cd6baf9a1847175a32f04d69b353ca9a4655fd27da62,['electrical/electronic manufacturing'],Montcada,Valencian Community
48ad55f4b5bde48c45c293746bc90a69f9df5a5d55b5c3d54f66580f1b9f8e49,Suplantación posible,fdf007396bd574452e363d27df576d3cc1b492cfe9324fdbfc12faee292bacfa,['newspapers'],Madrid,Community of Madrid
e93c0dab461cd2e94a96d6ee5663b23e58c1e717c79b85dab9ce2bc86753bef7,Suplantación posible,43fb32efb4a1e3f975474386c16f62b19a0f037850363800dbeaecb01a4af43a,['newspapers'],Madrid,Community of Madrid
6d3307844b5217805bb903a992d675409f0da25022415dc2d6e03669644174d9,Suplantación posible,8f6f5daa0825e35780285b7f23429dec9e3a01783e9ce846eecdf7f62806d274,['newspapers'],Madrid,Community of Madrid
f309e724717f7b524b11ea7a70c4a6b485c95b03caeae8bd44f2005e8934c6bf,Suplantación posible,f926b58cf4b0f62a6956ef618e46ffc9ed94a8571e4b32563acc19a020a48ef3,['automotive'],Casarrubios del Monte,Castilla-La Mancha
a22cdebc4856dc4114175042fc0c5af379feec2dce463b88238f1348a27d7b04,Suplantación NO es posible,172e4caa3a9ac8c3d2f7a64a27ac738cb97e2a3523d06bc4c7526edaef4ebcd3,['automotive'],Casarrubios del Monte,Castilla-La Mancha
6b023440ac45c0ea9de6cc3062ffc17382d3b328e236d2225701eda85a7d6cde,Suplantación quizá es posible,5b53511ce68c5aa44aac9ef763a5e13b73085ead5f3a97ac5983633b65f7f0bd,['automotive'],Casarrubios del Monte,Castilla-La Mancha
2d08bd43e79afd34959b1ccfda44459ff87bbc278c67083598855aa6807de751,Suplantación posible,bcf91f1e2ae3efb1f883d5b6c3697bc4cad7db43f9c794bc54d1465eac159f2b,['sports'],Ibiza,Balearic Islands
c132862eeb7333947fc379ef4016eac9277ff90089de0bbf936e7f9c9f83b717,Suplantación posible,740536c1e423df00919e2dec8f05e7e9de3b7831b66df8ed61f7e758bfb1babb,['sports'],Ibiza,Balearic Islands
b5e4f67f504d820e23523021c7c7e60102644b59650f38b9ca823ad794e7f2ae,Suplantación quizá es posible,a4873a0c074c59c036fe5a0e528987c5e4f893a626c4777707a19ed14429eaf8,['sports'],Ibiza,Balearic Islands
5acd859305d8d6c83288f04dcc47f2004486b90cdd6b2d2a05ce225deeb93d40,Suplantación posible,3a0df34bad294ab7bdf1b2b228d0d3986f643f78652b79cecaf663a4f3b0d169,['sports'],Ibiza,Balearic Islands
ec6d4a2cbb2126a6daf2ebf2ee87c885ee7e19d1bf970d76fae9b8315de81eda,Suplantación posible,c30569a7ccf0c2070241740df8e3e71773d7344985e37b0cb4aafdc6a753f250,['hospitality'],,Balearic Islands
0f6318c5f71ca53e761301b966742204a65698eb19e6cc49d7a0a6f661bcad28,Suplantación NO es posible,f9421aa443afe5dd51246b89d8289ad6db5304ab0bb8081b0d02ffb69dc513cf,['hospitality'],,Balearic Islands
